scenario_name,budget_type,budget_value,retained_aum,incremental_nii,offers_made
base,count,100.0,684842.1256614744,62331.85283965811,100
base,count,250.0,732560.3749032003,65473.09290924797,250
base,count,500.0,764991.8790268109,68224.7194698142,500
base,count,1000.0,816062.6152219075,72127.72269765998,1000
base,count,1500.0,853721.9530919667,74984.62102453761,1500
base,count,2000.0,884791.4700266096,77190.26840884583,2000
base,cost,5000.0,621947.6173654745,58896.94097265251,75
base,cost,10000.0,695830.6989213352,63071.563073964935,115
base,cost,25000.0,717009.4760043651,64371.85841334775,176
base,cost,50000.0,734670.9869151871,65656.97955957706,264
base,cost,100000.0,759254.4265913897,67768.23150462534,453
base,cost,150000.0,783380.4528853975,69675.15624921437,664
