scenario_name,budget_type,budget_value,retained_aum,incremental_nii,offers_made
high_prime,count,100.0,1267207.0023851835,130139.48839682237,100
high_prime,count,250.0,2535826.2894131374,240115.63036168463,250
high_prime,count,500.0,3890002.3275906886,353134.04817851825,500
high_prime,count,1000.0,5600271.362001715,492206.2452368655,1000
high_prime,count,1500.0,6816947.441894403,590188.8646912547,1500
high_prime,count,2000.0,7803650.619708711,666188.2149363689,2000
high_prime,cost,5000.0,1267207.0023851835,130139.48839682237,100
high_prime,cost,10000.0,2052639.9189892875,201806.92204775533,190
high_prime,cost,25000.0,3165579.885218749,293462.58362061053,353
high_prime,cost,50000.0,3972496.779453678,358824.99313669815,516
high_prime,cost,100000.0,5062723.015514553,449285.1111371827,822
high_prime,cost,150000.0,5892528.651117041,517044.3564765852,1114
