scenario_name,budget_type,budget_value,retained_aum,incremental_nii,offers_made
low_prime,count,100.0,1375511.590177241,158155.73683361497,100
low_prime,count,250.0,2794461.075585968,303225.27382815763,250
low_prime,count,500.0,4502862.766732704,468394.8680406221,500
low_prime,count,1000.0,6765531.752366031,686613.7981021735,1000
low_prime,count,1500.0,8501542.217639752,846184.2876442898,1500
low_prime,count,2000.0,9960500.235069802,974590.2331407112,2000
low_prime,cost,5000.0,1039064.9645386332,122363.5424901913,71
low_prime,cost,10000.0,1678830.9659240553,189758.92473303646,128
low_prime,cost,25000.0,3311483.5046388367,351946.0678253436,315
low_prime,cost,50000.0,4811969.144438693,499813.45150280365,559
low_prime,cost,100000.0,6436832.136988733,655460.9277101042,916
low_prime,cost,150000.0,7562964.155424719,759465.5192490576,1213
